Datetime,Text,Username,
2018-01-02 09:26:45+00:00,"I stand with women across every industry to say #TIMESUP on abuse, harassment, marginalization and underrepresentation.  Join me! Sign the statement of solidarity &amp; donate to the @TIMESUPNW Legal Defense Fund: https://t.co/tp9YDjZ0qw https://t.co/KW2b5BGgbX",EmmaWatson,
2017-12-28 20:07:41+00:00,"The girls in this picture with me are the Columbus Sisters. Eleanor in particular has just started a production company with her dad, Chris, that funds small independent films- including @PattiCakesMovie out now on iTunes. Check out Maiden Voyage Pictures and Patti Cakes$ ?òç https://t.co/Kps5CFmE0v",EmmaWatson,
2017-12-26 20:02:29+00:00,Millennials go have the crap scared out of you and see #Belleville at @DonmarWarehouse. Performances are amazing. You wont regret it.,EmmaWatson,
2017-12-24 00:16:28+00:00,"This Christmas 30,000 children in Haiti are living in orphanages, exposed to exploitation &amp; abuse. @JK_Rowling's charity @Lumos is working hard to return these children to their families. In the spirit of giving, help them make it home by donating https://t.co/YGq4AJdcKs",EmmaWatson,
2017-12-22 23:55:43+00:00,"A moving reminder that sexual harassment happens in all industries - not just my own: https://t.co/TSEodkTfDf  To the brave women from Ford, your courage has allowed other women to not feel alone.",EmmaWatson,
2017-12-07 16:19:32+00:00,Thank you to @TIME's Person of the Year- the SILENCE BREAKERS for your voices in this time of change.¬†https://t.co/jUwITSW1qo,EmmaWatson,
2017-11-28 16:35:33+00:00,"I first met Alice in Zambia in 2012 &amp; we celebrated #IWD2017 together. She?ôs an amazing activist who was once at risk of becoming a child bride, now leading #GirlGuardians for @Camfed. The UK Gov?ôt are DOUBLING donations to #EndChildMarriage https://t.co/ulsQVrZPmc #GivingTuesday https://t.co/U8Ixx7UQ7c",EmmaWatson,
2017-11-21 10:40:50+00:00,One day left to bid on a pair of my signed boots to support @smallstepsdocs. Help children in poverty gain access to education! x  https://t.co/kZYM7B6jSw https://t.co/CIDUN9Ohwo,EmmaWatson,
2017-11-20 18:39:57+00:00,https://t.co/qNf8SPZkGY #MexicoRises https://t.co/eSuhbl0ghj,EmmaWatson,
2017-11-16 22:06:48+00:00,"I love seeing inspiring books turned into films. @WonderTheMovie, directed by my friend Steve Chbosky, is out this weekend in the US. What a great reminder to #choosekind. I hope you all enjoy it! Emma x

https://t.co/sHIsAGNYcG",EmmaWatson,
2017-10-10 16:25:07+00:00,"In this instance it was women affected but I also stand with all the men, indeed any person, who has suffered sexual harassment.",EmmaWatson,
2017-10-10 15:53:15+00:00,"I stand with all the women who have been sexually harassed, and am awestruck by their bravery. This mistreatment of women has to stop.",EmmaWatson,
2017-10-04 17:24:49+00:00,Help those in Mexico devastated by the earthquakes #MexicoRises https://t.co/zRUYG4W0X7 &amp; https://t.co/6yLsnzoDRb,EmmaWatson,
2017-10-02 14:31:45+00:00,@SadiqKhan About time too! : ),EmmaWatson,
2017-09-26 18:04:51+00:00,This is AWESOME Anoosha! @foxville_art https://t.co/DcD9D2s03t,EmmaWatson,
2017-09-23 18:08:05+00:00,Very excited to hear @melindagates announce $20M for underfunded women's movements. Congratulations @mamacash &amp; others x #HowEqualityHappens,EmmaWatson,
2017-09-21 00:28:08+00:00,A timely reminder of why we must invest in the power of women's movements: https://t.co/PW7Z14MVJj #Goalkeepers17 #HowEqualityHappens,EmmaWatson,
