Datetime,Text,Username
2023-01-13 01:25:04+00:00,"Time to walk off the the energy….
Little A-holes….
🤦‍♂️🤦‍♂️
#WalkerFamily #walker #WalkerVerse",jarpad
2023-01-13 01:09:23+00:00,"Gimme a show about Abilene and Bonham?…
I’d watch it 8 days a week.  
#WalkerFamily #walker #WalkerVerse",jarpad
2023-01-12 21:51:26+00:00,@Kat_McNamara @CBSTVStudios @TheCW @CWWalkerIND @TheRealPhilemon @walker_room @katedangerfield @larryteng 🍿,jarpad
2023-01-12 21:48:40+00:00,@padataytay Daddy.,jarpad
2023-01-12 21:47:28+00:00,@ILEAKF @thecwwalker @SpnSwain this is beautiful! thank you!!!!,jarpad
2023-01-12 21:47:04+00:00,Who's watching #Walker with me tonight??! 🤠🙋‍♂️@thecwwalker,jarpad
2023-01-12 21:44:38+00:00,"Hey y'all! If you are coming to Vegas this weekend be sure to give a warm welcome to some Walkerverse friends of mine!!!! Keegan, Mitch and @Kat_McNamara will be joining us and I've been bragging you up 😂😂
We can't wait to see everyone!!  @CreationEnt",jarpad
2023-01-11 18:49:42+00:00,@thecwwalker See y’all tomorrow!!! 🙏❤️,jarpad
2022-12-20 17:40:42+00:00,@Mariam35347652 Eat a lot of tacos. And wash your face. Not at the same time.,jarpad
2022-12-20 17:39:43+00:00,@WeAre1Breath Hope he feels better soon!!,jarpad
2022-12-20 17:37:51+00:00,@Caitlinmperry1 crop tops!,jarpad
2022-12-20 17:37:23+00:00,"From our family to yours, Happy Holidays!! 
Love y'all!!!",jarpad
2022-12-20 17:36:21+00:00,@akfclare 🙏❤️,jarpad
2022-12-12 17:16:44+00:00,I asked that we try to figure out international shipping 🤞,jarpad
2022-12-12 17:11:09+00:00,Hey y'all I want to thank you for your fundraising support for @wwp!!! 🙏If you are interested in getting one of the remaining coins you can find them at https://t.co/dVy3Yh0WXt #SPNFamily #WalkerFamily #AKF https://t.co/0UmVdngCXg,jarpad
2022-12-07 01:59:37+00:00,@JoJoMarshmello_ ❤️,jarpad
2022-12-07 01:50:11+00:00,@CarolHansson Happy Birthday mom!!,jarpad
2022-12-07 01:47:43+00:00,Yeah. Same. 😂,jarpad
2022-12-07 01:41:17+00:00,@Nik_Dalton *nightmare,jarpad
2022-12-07 01:40:22+00:00,@MikeTruttman @JensenAckles @mishacollins Happy Birthday!,jarpad
2022-12-07 01:40:03+00:00,@Watch_N_Rant @firstwefeast @JensenAckles @mishacollins I’m in🔥,jarpad
2022-12-07 01:39:04+00:00,@Brokenbutbeau15 @SamSmithTweets Great ink!!,jarpad
2022-12-07 01:38:12+00:00,"If you can and would like to donate somewhere for the holidays, this would be a great way to spread some cheer (and knowledge!!!)  🎁❤️",jarpad
2022-12-05 22:50:45+00:00,@TheRealPhilemon No aCOWnting for taste (this is a stretch even for me!! 😂),jarpad
2022-12-05 21:44:03+00:00,It's either one or the udder!!!! 😂🐮,jarpad
2022-12-05 21:41:38+00:00,@thetraincars a voodoo doll?,jarpad
2022-12-05 21:40:20+00:00,How do you tell the difference between a bull and a cow?,jarpad
2022-12-05 21:36:12+00:00,"@AMckicat I don't know, why is that?",jarpad
2022-12-05 21:35:30+00:00,@wonderIIost there's snacks???,jarpad
2022-12-05 21:24:00+00:00,@padataytay ❤️,jarpad
2022-12-05 21:19:53+00:00,@winchester_ily hello,jarpad
2022-12-05 21:01:48+00:00,@proudofjarpad 😂,jarpad
2022-12-05 20:17:05+00:00,@dwvariant Break a leg on your finals!!!!,jarpad
2022-12-05 20:08:20+00:00,@MOKI73072199 He's very distinguished!!!!,jarpad
2022-12-05 20:07:30+00:00,"@samthepriority I can ask them if they do that, but this is probably a one off.",jarpad
2022-12-05 16:31:14+00:00,As promised our convention partners were able to list these products this online for a short time (I don't think there is much of it!!!!) The LINK is here: https://t.co/dVy3YhixP1,jarpad
2022-11-28 18:44:04+00:00,I’m a little late to this but hope y’all had an amazing Thanksgiving and a good week ahead. ❤️🙏 https://t.co/NZOJWNKfKY,jarpad
2022-11-19 09:33:23+00:00,"To: Whoever is out there. 
For: Whatever it’s worth. 

It’s gonna be alright. 

❤️",jarpad
2022-11-18 02:26:12+00:00,This episode of #WalkerIndependence is blowing my mind,jarpad
2022-11-18 02:01:47+00:00,"😳😳😳
WOW. 
😳😳😳
#walker just broke my heart. I’m so many ways. 
#WalkerFamily #walkerverse",jarpad
2022-11-18 01:55:51+00:00,"Oy. 
Cordell….
Ya done messed up…
#walker #WalkerFamily #Walkerverse",jarpad
2022-11-18 01:52:31+00:00,"Ummm…. 😳😳😳😳😳
#Shut
I’m sorry. 
Thus may have boon in anfortunite typa…
#walker",jarpad
2022-11-18 01:49:21+00:00,"😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳
……
Couldn’t take my eyes off the screen for that #walker #THANKSGIVING scene…
Ummmm…..
Augie?…. You’re in deep trouble son…
#WalkerFamily #walkerverse",jarpad
2022-11-18 01:37:58+00:00,"?!?!?!
@MrJakeAbel in the house?!?! 😁😁
#Walker #WalkerFamily #walkerverse",jarpad
2022-11-18 01:35:12+00:00,"#SpatchcockTheTurkey….
…. Gonna leave that one alone…
#walker #WalkerFamily #Walkerverse",jarpad
2022-11-18 01:34:19+00:00,"Ummm…. #Augie… what’s goin on buddy????
😳😳😳😳
#walker #WalkerFamily #Walkerverse",jarpad
2022-11-18 01:30:16+00:00,"Life imitates Art…
As some of y’all know, Austin always has some weather to deal with, and it becomes an all-for-one kinda scenario…
#Walker #WalkerFamily #walkerverse",jarpad
2022-11-18 01:25:19+00:00,"Can’t help but feel that #walker and #cassie might not have reached the end of the Grey Flag story…. 🤔
#WalkerIndependence #WalkerFamily",jarpad
2022-11-18 01:18:48+00:00,"Ummmmm….
WHAT did #Cassie just let slip?!?!
😳😳😳😳🤦‍♂️
#Walker #WalkerIndependence #Walkerverse",jarpad
2022-11-18 01:13:46+00:00,"#walker family ready to feed some guests!!!
#WalkerIndependence #Walkerverse",jarpad
2022-11-18 01:09:42+00:00,"Shit down the Side Step?!?!?! 
😳🤬
#walker #WalkerIndependence #Walkerverse",jarpad
2022-11-18 01:04:08+00:00,"Riding ATV’s….
On camera…
Best. Ever. 😁👏
#walker #WalkerIndependence #Walkerverse",jarpad
2022-11-18 01:02:24+00:00,"#Honesty. 
I had a little bit more@fun with that Turkey call than I should have… 🤦‍♂️
#walker #walkerverse #WalkerIndependence",jarpad
2022-11-18 01:01:19+00:00,"Here we go!!!
#THANKSGIVING 
#walker #walkerverse #WalkerIndependence",jarpad
2022-11-18 00:07:32+00:00,(P.S. #LoveYouBack 😊),jarpad
2022-11-18 00:05:40+00:00,T-Minus 1 Hour until you can celebrate #THANKSGIVING with the #Walker family!!! 😁🦃,jarpad
2022-11-11 02:00:04+00:00,Thanks for catching #Walker everyone!!! Handing over the reins for #WalkerIndependence !!!!!,jarpad
