word,frequency
Je,1
cache,1
des,1
de,1
La,1
Servante,1
Ecarlate,1
dans,1
OSSParis,1
SvwjYqm1G3,1
register,1
election,1
3FjKcTfIiH,1
UseYourVoice,1
jP8lWAkARq,1
MTVAwards,1
YQqrjeAfIr,1
whomademyclothes,1
KtIgR86qEc,1
NrsOdeVikj,1
average,1
Hispanic,1
20PercentCounts,1
Ldz2MxhZqF,1
cG6CF8NzVv,1
here's,1
P59dpN3m6B,1
8jdQ3axXul,1
FM1VZEJQDG,1
opens,1
CoNaybGFqS,1
SNs1bIGuI1,1
U3RFJlZAzQ,1
9OPIAyympV,1
peek,1
Plus,1
kittens,1
courtesy,1
BMrElSaCru,1
KROEfmGdE3,1
rtsJwKzh9o,1
Roosevelt's,1
monument,1
cn2EffRyzd,1
LUz2Dyi9mv,1
Gertrude,1
Stein,1
statue,1
kJhmZfvBzw,1
rb81acPFkn,1
Joan,1
Arc,1
p8qrMJBbXk,1
jdiUGgl3F5,1
bookstore,1
6Se2KbIZEQ,1
Harriet,1
Tubman,1
fmjY1zro14,1
wJTKDBfjPg,1
GCroQSkQwH,1
fairies,1
mark,1
IWDoursharedshelf,1
2014,1
Beyonc,1
bold,1
Y8vumOeyDT,1
Via,1
Bath,1
Festival's,1
F,1
Rating,1
site,1
IMDb,1
D87ftiHxLj,1
Graydon,1
Carter,1
Tim,1
Walker,1
0cwQv7yU42,1
n72imoeDjy,1
Devastated,1
Bill,1
hearted,1
BeautyandtheBeast,1
sJvaBi5b1d,1
p2eKUZWCSw,1
Alan,1
Menken,1
aladdin,1
pocahontas,1
thelittlemermaid,1
bS7YLr6n0W,1
Instagram,1
follow,1
journey,1
PL1YPKxgj4,1
Poverty,1
iTsGRbSiA6,1
Contraceptives,1
greatest,1
antipoverty,1
innovations,1
history,1
CkqOcXL5Z3,1
Reading,1
annual,1
lifted,1
spirits,1
Od7G6RvjGe,1
jbWYbXJQrD,1
5Dp3fUeQEp,1
HkSrOqFTmk,1
dYZPxJ13FI,1
kDHkIWMzQz,1
IStandWithPP,1
VF2JCmDKwq,1
fundraising,1
StandWithPP,1
Hamilton,1
9JYiVBlHyO,1
TLzATBC2og,1
iE6YzVCKus,1
factories,1
sack,1
protests,1
wGXSwlbA9n,1
JEbD7YG94L,1
Tweet,1
5aeIfgHTZy,1
TTSxApXok1,1
MUST,1
WATCH,1
girlpower,1
URlJKNqqWh,1
teaser,1
tvlNKRTruX,1
H4yVuVDTKL,1
sSXZBVFjLz,1
subway,1
Then,1
harder,1
geeking,1
PlanetEarth2,1
starts,1
TONIGHT,1
8pm,1
9pm,1
Earth,1
Nordics,1
peeled,1
tube,1
gNs07Q9AQf,1
j7z4aIJnZI,1
goal5,1
12pB2DGL0t,1
ceremony,1
jmwQunE64k,1
Ready,1
training,1
bfJOpB1rLC,1
WeAreLumos,1
Limited,1
edition,1
shirt,1
